date,ville,region,latitude,longitude,altitude_m,type_climat,temp_min_c,temp_max_c,temp_mean_c,humidite_pct,precipitations_mm,vitesse_vent_ms,direction_vent_deg,rafale_max_ms,ensoleillement_h,duree_jour_h,rayonnement_wm2,pm25_proxy_ugm3,qualite_capteur
2020-01-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.3,25.0,18.4,58.3,0.0,0.6,309.0,0.9,6.4,10.53,720.8,30.5,medium
2020-01-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.2,26.8,20.7,71.1,0.0,2.2,316.0,3.0,5.8,10.54,561.5,26.7,medium
2020-01-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.2,21.7,,,,,262.0,4.5,,10.54,,21.2,medium
2020-01-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,11.3,,,,,,69.0,2.4,,10.55,,21.4,medium
2020-01-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,,26.7,,,,,277.0,15.1,,10.56,,28.8,medium
2020-01-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,11.5,,,,,,95.0,5.0,,10.57,,506.8,medium
2020-01-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.2,25.7,,,,,311.0,3.3,,10.57,,19.4,medium
2020-01-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.4,,,,,,276.0,1.5,,10.58,,24.1,medium
2020-01-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.0,23.6,,,,,349.0,2.6,,10.59,,25.8,medium
2020-01-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.2,25.8,,,,,313.0,5.0,,10.6,,30.8,medium
2020-01-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.7,23.4,19.0,52.6,0.0,3.4,219.0,4.7,6.3,10.61,664.4,26.9,medium
2020-01-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.4,21.2,17.4,69.0,0.0,3.6,45.0,4.3,6.4,10.62,658.6,19.3,medium
2020-01-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.9,23.6,18.4,67.3,0.0,2.4,279.0,3.4,6.3,10.63,578.0,24.3,medium
2020-01-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.0,25.2,18.6,74.6,0.0,3.3,273.0,4.6,5.5,10.64,531.6,24.4,medium
2020-01-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.5,24.8,19.4,52.6,0.0,0.7,198.0,1.0,5.5,10.65,708.5,21.8,medium
2020-01-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.8,23.4,16.9,61.8,0.0,4.5,341.0,6.8,6.7,10.66,624.0,33.5,medium
2020-01-17,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.6,23.8,17.8,63.6,0.0,2.0,62.0,2.9,7.0,10.67,814.3,17.9,medium
2020-01-18,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.2,25.8,19.2,66.9,0.0,2.0,,2.6,5.0,10.69,525.7,31.4,medium
2020-01-19,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.3,25.0,-1.4,65.6,0.0,5.4,58.0,7.3,6.1,10.7,680.0,,medium
2020-01-20,Abong-Mbang,Est,3.983,13.183,650,equatorial,,23.8,19.2,60.3,0.0,2.3,256.0,,5.7,10.71,571.8,24.5,medium
2020-01-21,Abong-Mbang,Est,3.983,13.183,650,equatorial,,22.3,17.4,54.2,,5.1,292.0,7.1,5.5,10.73,536.3,21.8,medium
2020-01-22,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.8,22.1,18.3,72.5,0.0,1.3,,1.9,6.1,10.74,531.1,11.3,medium
2020-01-23,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.8,27.9,21.7,64.4,0.0,0.9,38.0,1.3,5.9,10.75,478.3,21.1,medium
2020-01-24,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.2,24.0,18.5,64.9,0.0,1.7,68.0,1.9,5.2,10.77,491.2,20.1,medium
